date,position,bucket,quantity,all_in_cost_usd,marked_value_usd,weight_pct,return_pct,acquired,price_source
2026-09-21,"The Lord of the Rings: Tales of Middle-earth Special Edition Collector Booster Box","LOTR: Tales of Middle-earth",1,2591.93,6826.40,40.70,163.37,2025-09-29,observed market price
2026-09-21,"The Hobbit Collector Booster Display","The Hobbit",1,839.85,745.87,4.45,-11.19,2026-07-18,observed market price
2026-09-21,"The Hobbit Collector Booster Box","The Hobbit",1,795.00,745.87,4.45,-6.18,2026-08-13,observed market price
2026-09-21,"Reality Fracture Collector Booster Box","Reality Fracture",1,641.95,594.91,3.55,-7.33,2026-09-07,observed market price
2026-09-21,"Fallen Empires Booster Box (sealed)","Vintage / Legacy sealed",1,534.99,568.92,3.39,6.34,2026-08-08,observed market price
2026-09-21,"Antiquities Booster Pack","Vintage / Legacy sealed",1,535.00,555.00,3.31,3.74,2026-05-13,observed market price
2026-09-21,"Marvel Super Heroes Collector Booster Box","Marvel Super Heroes",1,534.95,484.50,2.89,-9.43,2026-06-06,observed market price
2026-09-21,"Marvel Super Heroes Collector Booster Display","Marvel Super Heroes",1,502.33,484.50,2.89,-3.55,2026-06-03,observed market price
2026-09-21,"Urza's Saga Tournament Pack","Vintage / Legacy sealed",1,481.48,466.71,2.78,-3.07,2026-05-13,observed market price
2026-09-21,"The Hobbit Play Booster Box","The Hobbit",2,374.50,330.92,1.97,-11.64,2026-09-07,observed market price
2026-09-21,"Revised Edition Booster Pack","Vintage / Legacy sealed",1,300.66,328.90,1.96,9.39,2026-05-13,observed market price
2026-09-21,"LOTR Tales of Middle-earth Set Booster Box","LOTR: Tales of Middle-earth",1,337.10,327.85,1.95,-2.74,2026-05-16,observed market price
2026-09-21,"World of Warcraft: Forever Collector's Edition","Other collectibles",1,190.46,281.09,1.68,47.58,2026-09-15,observed market price
2026-09-21,"Urza's Saga Booster Pack","Vintage / Legacy sealed",1,288.89,256.11,1.53,-11.35,2026-05-13,observed market price
2026-09-21,"The Hobbit Sleeved Set Booster Pack","The Hobbit",28,239.40,239.40,1.43,0.00,2026-08-23,carried at cost
2026-09-21,"Ice Age Starter Deck (1995)","Vintage / Legacy sealed",1,207.58,192.58,1.15,-7.23,2026-08-08,observed market price
2026-09-21,"Reality Fracture Play Booster Box","Reality Fracture",1,149.79,171.41,1.02,14.43,2026-09-08,observed market price
2026-09-21,"The Hobbit Play Booster Box","The Hobbit",1,207.05,165.46,0.99,-20.09,2026-08-18,observed market price
2026-09-21,"The Hobbit Play Booster Box","The Hobbit",1,206.26,165.46,0.99,-19.78,2026-08-24,observed market price
2026-09-21,"The Hobbit Play Booster Box","The Hobbit",1,203.29,165.46,0.99,-18.61,2026-05-18,observed market price
2026-09-21,"The Hobbit Play Booster Box","The Hobbit",1,197.94,165.46,0.99,-16.41,2026-05-13,observed market price
2026-09-21,"Classic Sixth Edition 2-Player Starter Deck","Vintage / Legacy sealed",1,69.54,145.01,0.86,108.53,2026-08-03,observed market price
2026-09-21,"Pokemon TCG: 30th Celebration Booster Bundle","Pokemon",1,144.97,144.97,0.86,0.00,2026-09-08,carried at cost
2026-09-21,"Secret Lair x MSCHF - The Zeta Set Booster Pack","Secret Lair x MSCHF",1,119.13,141.85,0.85,19.07,2026-09-02,observed market price
2026-09-21,"Secret Lair x MSCHF - The Zeta Set Booster Pack","Secret Lair x MSCHF",1,117.10,141.85,0.85,21.14,2026-09-02,observed market price
2026-09-21,"Secret Lair x MSCHF - The Zeta Set Booster Pack","Secret Lair x MSCHF",1,89.88,141.85,0.85,57.82,2026-09-02,observed market price
2026-09-21,"Secret Lair x MSCHF - The Zeta Set Booster Pack","Secret Lair x MSCHF",1,87.28,141.85,0.85,62.52,2026-09-02,observed market price
2026-09-21,"Legions Theme Deck - Zombies Unleashed","Vintage / Legacy sealed",1,107.00,134.99,0.80,26.16,2026-05-21,observed market price
2026-09-21,"Urza's Legacy Booster Pack","Vintage / Legacy sealed",1,147.93,133.82,0.80,-9.54,2026-05-13,observed market price
2026-09-21,"Fifth Edition Starter Deck","Vintage / Legacy sealed",1,141.23,131.79,0.79,-6.68,2026-08-01,observed market price
2026-09-21,"Marvel Super Heroes Jumpstart Booster Box","Marvel Super Heroes",1,122.99,111.79,0.67,-9.11,2026-06-08,observed market price
2026-09-21,"Marvel Super Heroes Play Booster Box","Marvel Super Heroes",1,127.28,110.50,0.66,-13.18,2026-05-30,observed market price
2026-09-21,"Mirrodin Tournament Pack","Vintage / Legacy sealed",1,113.42,96.97,0.58,-14.50,2026-05-21,observed market price
2026-09-21,"Marvel's Spider-Man Bundle: Gift Edition","Marvel's Spider-Man",1,78.10,94.92,0.57,21.54,2026-02-16,observed market price
2026-09-21,"LOTR Starter Kit","LOTR: Tales of Middle-earth",1,21.39,86.26,0.51,303.27,2024-11-01,observed market price
2026-09-21,"LOTR Commander Deck 2 + Collector Booster Sample Pack","LOTR: Tales of Middle-earth",1,78.38,78.38,0.47,0.00,2026-03-23,carried at cost
